Date,Open,High,Low,Close,Volume,Adj Close
1-10-2016,112.3,113.1,111.95,112.85,28400000,112.85
2-10-2016,112.9,113.6,112.4,113.2,30100000,113.2
3-10-2016,113.1,113.8,112.7,113.55,27600000,113.55
4-10-2016,113.5,114.2,113.0,113.9,29200000,113.9
5-10-2016,113.85,114.6,113.4,114.3,31800000,114.3
6-10-2016,114.2,114.9,113.8,114.1,26700000,114.1
7-10-2016,114.15,115.0,113.95,114.75,32500000,114.75
8-10-2016,114.7,115.4,114.2,115.1,30900000,115.1
9-10-2016,115.05,115.8,114.7,115.55,34100000,115.55
10-10-2016,115.5,116.1,115.0,115.8,35600000,115.8
11-10-2016,115.75,116.4,115.2,116.05,37300000,116.05
12-10-2016,116.0,116.7,115.6,116.45,36200000,116.45
13-10-2016,116.4,117.0,115.9,116.8,35100000,116.8
14-10-2016,116.75,117.4,116.3,117.1,33900000,117.1
15-10-2016,117.05,117.8,116.7,117.55,38400000,117.55
16-10-2016,117.5,118.1,117.0,117.9,40100000,117.9
17-10-2016,117.85,118.5,117.4,118.2,39700000,118.2
18-10-2016,118.1,118.9,117.8,118.55,41200000,118.55
19-10-2016,118.5,119.1,118.0,118.95,42800000,118.95
20-10-2016,118.9,119.6,118.4,119.2,41900000,119.2
21-10-2016,119.15,119.9,118.8,119.55,43500000,119.55
22-10-2016,119.5,120.2,119.0,119.85,44700000,119.85
23-10-2016,119.8,120.5,119.3,120.1,46200000,120.1
24-10-2016,120.05,120.8,119.7,120.45,45100000,120.45
25-10-2016,120.4,121.1,120.0,120.75,47800000,120.75
26-10-2016,120.7,121.4,120.2,121.05,48600000,121.05
27-10-2016,121.0,121.8,120.6,121.4,49500000,121.4
28-10-2016,121.35,122.1,120.9,121.75,50300000,121.75
